,rep,taxa,site,Num_Tp,True_pos,Precision
1,1,fish,A,1109,164,0.147880973850316
2,2,fish,A,1157,151,0.130509939498704
3,3,fish,A,1175,179,0.152340425531915
4,1,Coral,A,1156,77,0.0666089965397924
5,2,Coral,A,1203,87,0.0723192019950125
6,3,Coral,A,1330,131,0.0984962406015038
7,1,invertebrate,A,1627,186,0.114320835894284
8,2,invertebrate,A,1319,146,0.110689916603487
9,3,invertebrate,A,1260,133,0.105555555555556
10,1,fish,B,1137,70,0.0615655233069481
11,2,fish,B,1137,50,0.0439753737906772
12,3,fish,B,1143,69,0.0603674540682415
13,1,Coral,B,1303,45,0.034535686876439
14,2,Coral,B,1290,50,0.0387596899224806
15,3,Coral,B,1267,38,0.0299921073401736
16,1,invertebrate,B,1115,45,0.0403587443946188
17,2,invertebrate,B,1234,47,0.0380875202593193
18,3,invertebrate,B,1258,47,0.0373608903020668
19,1,fish,C,994,64,0.0643863179074447
20,2,fish,C,1025,38,0.0370731707317073
21,3,fish,C,1082,57,0.0526802218114603
22,1,Coral,C,1077,30,0.0278551532033426
23,2,Coral,C,1057,25,0.0236518448438978
24,3,Coral,C,1061,27,0.0254476908576814
25,1,invertebrate,C,1070,45,0.0420560747663551
26,2,invertebrate,C,1110,49,0.0441441441441441
27,3,invertebrate,C,1021,44,0.0430950048971596
28,1,fish,D,476,92,0.19327731092437
29,2,fish,D,474,72,0.151898734177215
30,3,fish,D,457,75,0.164113785557987
31,1,Coral,D,534,79,0.147940074906367
32,2,Coral,D,537,80,0.148975791433892
33,3,Coral,D,512,63,0.123046875
34,1,invertebrate,D,481,73,0.151767151767152
35,2,invertebrate,D,491,66,0.134419551934827
36,3,invertebrate,D,486,70,0.1440329218107
37,1,fish,E,435,28,0.064367816091954
38,2,fish,E,423,20,0.0472813238770686
39,3,fish,E,441,27,0.0612244897959184
40,1,Coral,E,457,20,0.0437636761487965
41,2,Coral,E,462,19,0.0411255411255411
42,3,Coral,E,452,17,0.0376106194690266
43,1,invertebrate,E,401,18,0.0448877805486284
44,2,invertebrate,E,401,16,0.0399002493765586
45,3,invertebrate,E,397,18,0.0453400503778338
